cep,estado,cidade,ddd,logradouro
14062092,SP,Ribeirão Preto,16,Rua Irineu e Thereza Bertolucci
91180310,RS,Porto Alegre,51,Rua Maestro Leo W. Schneider
28907150,RJ,Cabo Frio,22,Rua Santos Dumont
49066233,SE,Aracaju,79,Rua E
49066233,SE,Aracaju,79,Rua E
49066233,SE,Aracaju,79,Rua E
49800000,SE,Porto da Folha,79,NE
49800000,SE,Porto da Folha,79,NE
58059723,PB,João Pessoa,83,Rua Julineide Lima da Silva
58059723,PB,João Pessoa,83,Rua Julineide Lima da Silva
74715130,GO,Goiânia,62,Rua Carolina
3579000.0,NE,NE,NE,NE
32686105.0,NE,NE,NE,NE
32689105.0,NE,NE,NE,NE
32689105.0,NE,NE,NE,NE
26560500,RJ,Mesquita,21,Rua Nestor
6624050.0,NE,NE,NE,NE
6624059.0,NE,NE,NE,NE
83015460,PR,São José dos Pinhais,41,Rua Nayme Nasser
95010000,RS,Caxias do Sul,54,Avenida Júlio de Castilhos
14079320,SP,Ribeirão Preto,16,Rua Júlio Ferranti
51340200,PE,Recife,81,Rua Rio Paracatu
51340200,PE,Recife,81,Rua Rio Paracatu
22630200,RJ,Rio de Janeiro,21,Rua Rodolfo de Campos
11940000,SP,Jacupiranga,13,NE
11940000,SP,Jacupiranga,13,NE
11940000,SP,Jacupiranga,13,NE
7400000.0,NE,NE,NE,NE
5775260.0,NE,NE,NE,NE
69043010,AM,Manaus,92,Rua Loris Cordovil
69043010,AM,Manaus,92,Rua Loris Cordovil
69000000.0,NE,NE,NE,NE
87075110,PR,Maringá,44,Avenida Pintassilgo
68515000,PA,Parauapebas,94,NE
48970000,BA,Senhor do Bonfim,74,NE
29115230,ES,Vila Velha,27,Rua Andréa
66073350,PA,Belém,91,Passagem Liberdade
14610000,SP,Ipuã,16,NE
14610000,SP,Ipuã,16,NE
72876120,GO,Valparaíso de Goiás,61,Quadra Quadra 30
74675660,GO,Goiânia,62,Rua Pitangui
41705380,BA,Salvador,71,Rua dos Pescadores
64650000,PI,Monsenhor Hipólito,89,NE
64650000,PI,Monsenhor Hipólito,89,NE
30512461,MG,Belo Horizonte,31,Beco da Pedreira
40450300,BA,Salvador,71,Conjunto Santa Luzia
74843050,GO,Goiânia,62,Rua Salvador
74843050,GO,Goiânia,62,Rua Salvador
74843050,GO,Goiânia,62,Rua Salvador
74843050,GO,Goiânia,62,Rua Salvador
55805000,PE,Tracunhaém,,NE
55805000,PE,Tracunhaém,,NE
55805000,PE,Tracunhaém,,NE
50050070,PE,Recife,81,Rua Gervásio Pires
11940000,SP,Jacupiranga,13,NE
11940000,SP,Jacupiranga,13,NE
20551230,RJ,Rio de Janeiro,21,Rua Senador Nabuco
5543140.0,NE,NE,NE,NE
32341030,MG,Contagem,31,Rua Jeupira
45700000,BA,Itapetinga,77,NE
14140000,SP,Cravinhos,16,NE
79630420,MS,Três Lagoas,67,Rua Sebastião Gomes de Carvalho
38800000,MG,São Gotardo,34,NE
38800000,MG,São Gotardo,34,NE
58273000,PB,Pedro Régis,,NE
6720250.0,NE,NE,NE,NE
39205000,MG,Três Marias,38,NE
6720250.0,NE,NE,NE,NE
40365250,BA,Salvador,71,Avenida Leocádio
40365250,BA,Salvador,71,Avenida Leocádio
14260000,SP,Cássia dos Coqueiros,,NE
8570655.0,NE,NE,NE,NE
38175000,MG,Santa Juliana,34,NE
68743050,PA,Castanhal,91,Avenida Barão do Rio Branco
60347155,CE,Fortaleza,85,Rua Desembargador Hermes Parahyba
60347155,CE,Fortaleza,85,Rua Desembargador Hermes Parahyba
55610480,PE,Vitória de Santo Antão,81,Rua Major Jener Tenório de Holanda
45800000,BA,Belmonte,73,NE
5367030.0,NE,NE,NE,NE
34000664,MG,Nova Lima,31,Rua Francisco Avelino de Assis
5367030.0,NE,NE,NE,NE
26379010,RJ,Queimados,21,Avenida Nossa Senhora de Copacabana
85460000,PR,Quedas do Iguaçu,,NE
5367030.0,NE,NE,NE,NE
45800000,BA,Belmonte,73,NE
5367030.0,NE,NE,NE,NE
13064845,SP,Campinas,19,Rua Rodrigo Medeiros
32180740,MG,Contagem,31,Rua Coqueiros
36033370,MG,Juiz de Fora,32,Rua Jésus Raimundo
13064845,SP,Campinas,19,Rua Rodrigo Medeiros
19804828,SP,Assis,18,Avenida da Integração
85557000,PR,Coronel Domingos Soares,,NE
35162396,MG,Ipatinga,31,Rua Osvaldo Cruz
2566000.0,NE,NE,NE,NE
6900000.0,NE,NE,NE,NE
44430662.0,NE,NE,NE,NE
47600000,BA,Bom Jesus da Lapa,77,NE
5372020.0,NE,NE,NE,NE
18045390,SP,Sorocaba,15,Rua Finlândia
18045390,SP,Sorocaba,15,Rua Finlândia
18020160,SP,Sorocaba,15,Rua Lolico de Barros
43700000,BA,Simões Filho,71,NE
5900000.0,NE,NE,NE,NE
5900000.0,NE,NE,NE,NE
35903037,MG,Itabira,31,Rua Aurora Lage de Andrade
35903037,MG,Itabira,31,Rua Aurora Lage de Andrade
69067020,AM,Manaus,92,Rua Virgílio de Barros
85830000,PR,Formosa do Oeste,,NE
62960000,CE,Tabuleiro do Norte,88,NE
44091274,BA,Feira de Santana,75,Rua Anolina
